As,Cr,Cu,Hg,Mo,Ni,Pb,Zn,Type
3.06712227,3.33220451,3.33220451,3.688879454,0.029558802,2.708050201,2.944965157,4.276666119,1
1.591273942,4.17438727,2.48490665,2.995732274,0.75612198,2.079441542,2.301584593,3.850147602,1
2.590017134,3.970291914,2.995732274,2.302585093,0.932164081,2.833213344,2.535282857,4.110873864,1
2.90416508,3.951243719,2.708050201,2.302585093,0.076961041,1.791759469,2.109000344,3.555348061,1
3.773450356,3.784189634,3.044522438,2.302585093,0.770108222,2.833213344,2.935982269,4.304065093,1
2.363680192,3.850147602,3.044522438,2.995732274,0.148420005,2.397895273,2.432735777,3.80666249,1
3.403195384,4.060443011,3.17805383,2.995732274,0.262364264,2.564949357,2.789937361,3.988984047,1
3.257327011,4.110873864,3.761200116,2.302585093,0.688134639,3.465735903,2.042518188,3.688879454,1
3.568687269,3.891820298,3.36729583,2.302585093,-0.010050336,2.302585093,2.823757009,3.891820298,1
2.893699548,3.784189634,2.944438979,2.302585093,-0.328504067,3.295836866,1.91102289,3.663561646,1
3.22246936,3.988984047,2.890371758,3.401197382,0.570979547,2.995732274,2.466403178,3.526360525,1
3.398861322,3.295836866,3.583518938,2.995732274,0.231111721,3.63758616,4.565909472,6.054439346,1
3.0194488,3.295836866,2.995732274,2.302585093,-0.186329578,1.791759469,2.784393768,3.970291914,1
2.57184858,3.583518938,3.091042453,2.995732274,0.2390169,2.48490665,2.570319528,4.060443011,1
3.669696635,3.970291914,3.218875825,2.302585093,0.039220713,2.302585093,2.885359216,3.871201011,1
2.921547375,3.891820298,2.772588722,2.302585093,0.371563556,3.401197382,1.880990603,3.688879454,1
2.850706502,4.077537444,4.007333185,2.302585093,0.086177696,3.044522438,3.163363115,4.248495242,1
1.913977102,4.248495242,4.564348191,2.302585093,0,3.433987204,3.801314883,5.049856007,1
2.786245049,4.465908119,3.218875825,2.302585093,0.797507196,2.708050201,2.586259144,4.219507705,1
2.338917022,4.442651256,5.087596335,2.302585093,0.322083499,4.007333185,3.666378189,4.795790546,1
2.568788134,4.025351691,4.234106505,2.302585093,0.693147181,3.33220451,3.428812549,4.532599493,1
2.633326655,3.784189634,3.218875825,2.302585093,0.717839793,2.197224577,3.869741613,4.143134726,1
